district,bid multiplier,households of 4,population - 16 to 24,population - 25 to 44,supermarkets,convenience stores,football stadiums,music Venues,meta,google trends,location - postal area,tier
KW12,0.81,"1,164",128,371,-,1,Low,-,"1,000",Low,Kirkwall,5
KW13,0.81,"1,384",158,359,-,-,Low,-,"1,000",Low,Kirkwall,5
KW14,0.85,"9,456","1,216","3,007",1,4,Low,-,"4,733",Low,Kirkwall,4
KW2,0.81,-,-,-,-,-,Low,-,"1,000",Low,Kirkwall,5
KW3,0.81,864,86,210,-,3,Low,-,"1,000",Low,Kirkwall,5
KW5,0.81,-,-,-,-,-,Low,-,"1,000",Low,Kirkwall,5
KW1,0.86,"8,480","1,199","2,624",1,3,Low,-,"4,350",Medium,Kirkwall,4
HS7,0.81,"1,104",121,366,1,1,Low,-,"1,000",Low,Outer Hebrides,5
HS4,0.81,-,-,-,-,-,Low,-,"1,000",Low,Outer Hebrides,5
HS5,0.81,-,-,-,-,-,Low,-,"1,000",Low,Outer Hebrides,5
HS6,0.81,"1,216",139,295,1,-,Low,-,"1,000",Low,Outer Hebrides,5
HS1,0.82,"4,184",523,"1,301",1,8,Low,-,"2,083",Low,Outer Hebrides,5
HS2,0.85,"11,900","1,216","3,287",-,6,Low,-,"4,633",Low,Outer Hebrides,4
HS3,0.81,"1,296",147,365,-,-,Low,-,"1,000",Low,Outer Hebrides,5
IV51,0.83,"3,876",433,"1,117",2,3,Medium,-,"2,567",Low,Inverness,5
IV55,0.82,"1,360",140,342,-,2,Medium,-,"1,000",Low,Inverness,5
IV21,0.82,736,57,196,-,3,Medium,-,"1,000",Low,Inverness,5
IV22,0.82,"1,448",144,382,-,1,Medium,-,"1,000",Low,Inverness,5
IV23,0.82,-,-,-,-,1,Medium,-,"1,000",Low,Inverness,5
IV26,0.82,"1,412",153,419,-,1,Medium,-,"1,183",Low,Inverness,5
IV10,0.82,"2,512",289,627,1,-,Medium,-,"1,000",Low,Inverness,5
IV11,0.81,-,-,-,-,-,Medium,-,"1,000",Low,Inverness,5
IV18,0.83,"4,608",635,"1,367",-,2,Medium,1,"2,533",Low,Inverness,5
IV19,0.83,"3,836",497,"1,115",1,3,Medium,-,"1,633",Medium,Inverness,5
IV25,0.82,"1,672",213,492,1,-,Medium,-,"1,083",Low,Inverness,5
IV28,0.81,-,-,-,-,-,Medium,-,"1,000",Low,Inverness,5
IV8,0.81,-,-,-,1,1,Medium,-,"1,000",Low,Inverness,5
IV9,0.82,"1,728",186,506,1,-,Medium,-,"1,000",Medium,Inverness,5
IV14,0.82,"1,704",188,451,-,-,Medium,1,"1,000",Low,Inverness,5
IV15,0.83,"4,932",606,"1,452",1,-,Medium,-,"2,150",Low,Inverness,5
IV16,0.82,"1,516",169,457,1,1,Medium,-,"1,000",Medium,Inverness,5
IV17,0.84,"5,460",675,"1,649",1,2,Medium,-,"2,950",Low,Inverness,5
IV24,0.82,964,104,243,-,1,Medium,-,"1,000",Low,Inverness,5
IV27,0.82,"2,428",259,691,-,2,Medium,-,"1,133",Low,Inverness,5
IV7,0.83,"4,320",539,"1,177",1,-,Medium,-,"2,400",Low,Inverness,5
KW10,0.81,"1,168",157,316,1,3,Low,-,"1,000",Low,Kirkwall,5
KW9,0.81,"1,228",174,301,1,2,Low,-,"1,000",Low,Kirkwall,5
KW11,0.81,-,-,-,-,-,Low,-,"1,000",Low,Kirkwall,5
IV30,0.98,"26,560","3,431","9,027",7,14,Medium,-,"16,117",Medium,Inverness,2
IV31,0.84,"6,148",820,"2,081",1,-,Medium,1,"3,100",Medium,Inverness,4
IV20,0.82,"2,108",264,649,-,1,Medium,-,"1,133",Low,Inverness,5
IV32,0.82,"3,428",405,"1,001",2,2,Medium,-,"1,950",Low,Inverness,5
KW6,0.81,-,-,-,-,1,Low,-,"1,000",Low,Kirkwall,5
KW7,0.81,-,-,-,-,-,Low,-,"1,000",Low,Kirkwall,5
KW8,0.81,-,-,-,-,-,Low,-,"1,000",Low,Kirkwall,5
AB44,0.82,"3,016",463,"1,010",1,-,Medium,-,"1,650",Low,Aberdeen,5
AB56,0.87,"10,992","1,440","3,429",4,7,Medium,-,"6,217",Low,Aberdeen,4
AB45,0.85,"7,844","1,065","2,446",3,1,Medium,-,"4,300",Low,Aberdeen,4
AB43,0.91,"19,384","2,664","6,272",5,9,Medium,-,"10,033",Low,Aberdeen,3
HS8,0.81,"1,508",159,385,1,1,Low,-,"1,000",Low,Outer Hebrides,5
HS9,0.81,956,91,302,1,-,Low,-,"1,000",Low,Outer Hebrides,5
PH44,0.81,-,-,-,-,-,Low,-,"1,000",Low,Perth,5
IV45,0.81,-,-,-,-,-,Medium,-,"1,000",Low,Inverness,5
IV46,0.81,-,-,-,-,-,Medium,-,"1,000",Low,Inverness,5
IV47,0.82,-,-,-,-,1,Medium,-,"1,000",Low,Inverness,5
IV48,0.81,-,-,-,-,-,Medium,-,"1,000",Low,Inverness,5
IV56,0.81,-,-,-,-,-,Medium,-,"1,000",Low,Inverness,5
PH42,0.81,-,-,-,-,-,Low,-,"1,000",Low,Perth,5
PH43,0.81,-,-,-,-,-,Low,-,"1,000",Low,Perth,5
IV41,0.82,-,-,-,-,1,Medium,-,"1,000",Low,Inverness,5
IV52,0.81,-,-,-,-,-,Medium,-,"1,000",Low,Inverness,5
IV53,0.81,-,-,-,-,-,Medium,-,"1,000",Low,Inverness,5
IV42,0.81,-,-,-,-,-,Medium,-,"1,000",Low,Inverness,5
IV43,0.81,"1,260",135,384,-,-,Medium,-,"1,000",Low,Inverness,5
IV44,0.81,-,-,-,-,-,Medium,-,"1,000",Low,Inverness,5
IV49,0.81,764,68,259,1,1,Medium,-,"1,000",Low,Inverness,5
PH40,0.81,-,-,-,-,-,Low,-,"1,000",Low,Perth,5
PH36,0.81,"1,312",128,349,-,-,Low,-,"1,000",Low,Perth,5
PH37,0.81,-,-,-,-,-,Low,1,"1,000",Low,Perth,5
PH38,0.81,-,-,-,-,-,Low,-,"1,000",Low,Perth,5
PH39,0.81,-,-,-,-,-,Low,-,"1,000",Low,Perth,5
PH41,0.81,"1,040",128,327,1,-,Low,-,"1,000",Low,Perth,5
IV40,0.82,"1,724",180,430,1,2,Medium,-,"1,200",Low,Inverness,5
IV54,0.81,"1,152",128,311,-,-,Medium,-,"1,000",Low,Inverness,5
PH32,0.81,-,-,-,-,2,Low,-,"1,000",Low,Perth,5
PH35,0.81,"1,332",166,425,-,-,Low,-,"1,000",Low,Perth,5
IV13,0.82,-,-,-,-,1,Medium,-,"1,000",Low,Inverness,5
IV3,0.89,"17,604","2,361","5,746",5,6,Medium,1,"7,817",Low,Inverness,3
IV5,0.81,972,112,280,-,-,Medium,-,"1,000",Low,Inverness,5
IV99,0.8,-,-,-,-,-,Medium,-,-,Medium,Inverness,5
IV1,0.82,"1,056",133,273,2,12,Medium,1,"1,333",Low,Inverness,5
IV2,1.02,"40,056","4,627","13,704",18,11,Medium,-,"22,944",Medium,Inverness,1
IV4,0.82,"3,328",336,949,2,-,Medium,-,"1,617",Low,Inverness,5
IV6,0.82,"3,512",410,"1,090",1,1,Medium,-,"1,700",Low,Inverness,5
IV63,0.82,"1,696",180,461,1,-,Medium,-,"1,100",Low,Inverness,5
PH20,0.81,-,-,-,1,-,Low,-,"1,000",Low,Perth,5
AB37,0.82,"1,160",141,337,-,1,Medium,-,"1,000",Low,Aberdeen,5
IV12,0.86,"9,484","1,113","2,835",6,2,Medium,-,"5,017",Low,Inverness,4
IV36,0.87,"11,440","1,432","3,646",1,3,Medium,-,"5,950",Low,Inverness,4
PH25,0.81,-,-,-,-,-,Low,-,"1,000",Low,Perth,5
PH10,0.84,"4,424",587,"1,275",5,4,Low,-,"4,600",Low,Perth,5
PH11,0.82,"2,740",365,822,2,3,Low,-,"1,233",Low,Perth,5
PH18,0.82,"3,504",484,"1,083",-,-,Low,-,"1,000",Low,Perth,5
PH21,0.81,"1,648",185,467,1,-,Low,-,"1,067",Low,Perth,5
PH22,0.82,"2,908",334,"1,032",5,2,Low,-,"2,167",Low,Perth,5
PH23,0.81,"1,596",191,469,-,-,Low,-,"1,000",Low,Perth,5
PH24,0.81,-,-,-,-,-,Low,-,"1,000",Low,Perth,5
PH26,0.82,"2,588",296,873,2,3,Low,-,"1,700",Low,Perth,5
AB33,0.82,"3,748",451,"1,161",1,1,Medium,-,"2,067",Low,Aberdeen,5
AB34,0.83,"3,620",491,"1,203",1,3,Medium,-,"1,917",Low,Aberdeen,5
AB52,0.83,"3,472",460,"1,262",1,1,Medium,-,"1,750",Medium,Aberdeen,5
AB31,0.86,"11,360","1,423","3,366",3,3,Medium,2,"5,217",Medium,Aberdeen,4
AB32,0.87,"9,468","1,262","3,291",2,6,Medium,-,"5,100",Medium,Aberdeen,4
